20:05:16: Dealer 2: Car 1 (Body: 3, Motor: 1, Accessory: 2)
20:05:16: Dealer 1: Car 2 (Body: 4, Motor: 5, Accessory: 6)
20:05:18: Dealer 2: Car 3 (Body: 7, Motor: 8, Accessory: 10)
20:49:24: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
20:49:25: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
20:49:26: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
20:52:45: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 2)
20:52:46: Dealer 2: Car 2 (Body: 3, Motor: 4, Accessory: 5)
20:52:47: Dealer 1: Car 3 (Body: 6, Motor: 7, Accessory: 9)
20:52:49: Dealer 2: Car 4 (Body: 12, Motor: 16, Accessory: 21)
20:52:50: Dealer 1: Car 5 (Body: 15, Motor: 20, Accessory: 25)
20:52:51: Dealer 2: Car 6 (Body: 17, Motor: 23, Accessory: 29)
20:52:52: Dealer 1: Car 7 (Body: 19, Motor: 27, Accessory: 34)
20:52:53: Dealer 2: Car 8 (Body: 24, Motor: 32, Accessory: 38)
20:52:54: Dealer 1: Car 9 (Body: 28, Motor: 39, Accessory: 41)
20:52:55: Dealer 2: Car 10 (Body: 33, Motor: 43, Accessory: 46)
20:52:57: Dealer 1: Car 11 (Body: 40, Motor: 48, Accessory: 54)
21:04:03: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
21:04:03: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
21:04:04: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
21:04:05: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
21:04:06: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
21:04:07: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
21:04:08: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
21:04:09: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
21:04:10: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
21:04:11: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
21:04:12: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
21:04:12: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
21:12:42: Dealer 1: Car 1 (Body: 3, Motor: 2, Accessory: 1)
21:12:43: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
21:12:44: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
21:12:44: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
21:12:45: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
21:12:46: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
21:12:47: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
21:12:48: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
21:12:49: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
21:12:50: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
21:12:51: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
21:12:52: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
21:16:43: Dealer 1: Car 1 (Body: 1, Motor: 3, Accessory: 2)
21:16:44: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
21:16:45: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
21:16:45: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
21:16:46: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
21:16:47: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
21:16:48: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
21:16:49: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
21:16:50: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
21:16:51: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
21:16:52: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
21:16:53: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
21:19:07: Dealer 1: Car 1 (Body: 3, Motor: 2, Accessory: 1)
21:19:08: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
21:19:09: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
21:19:10: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
21:19:11: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
21:19:12: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
21:19:12: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
21:19:13: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
21:19:14: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
21:19:15: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
21:19:16: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
21:19:17: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
